epoch,train_loss,val_loss,train_accuracy,val_accuracy,train_precision,val_precision,train_recall,val_recall,train_f1,val_f1
1,0.03573449795115006,0.03266372405081481,0.86026845340437,0.8723462869539765,0.7463321844925326,0.7671914950881442,0.878767047344495,0.8849278211828012,0.8071533322470262,0.821864488226814
2,0.034924299709212826,0.0337220529264731,0.8625227831194611,0.8412507102395014,0.7498182847972813,0.6931396904261418,0.8807184832021289,0.9383763646711853,0.8100140216698534,0.7973270025498989
3,0.034969191063725105,0.03288368538760826,0.8629249466856557,0.8783553435837393,0.7497551327933697,0.7883548114006208,0.8826810067634993,0.8672841103119988,0.8108061312827824,0.8259380620365123
4,0.03495450993924641,0.03322098128827674,0.861954588723186,0.8787685738390812,0.7486220379705093,0.7942049808429119,0.8809735003880697,0.8580224556320174,0.8094231503883866,0.8248812395851469
5,0.034570870251880846,0.032450342570084216,0.8634193496018949,0.8754110780144286,0.7504804974561899,0.7777879887883105,0.8832021288391174,0.8758213897656129,0.8114501095094994,0.8238987588220978
6,0.034498171061517646,0.03263848543199955,0.8632016647357896,0.8618433512973708,0.7499976465493707,0.7349016999875306,0.8833573566914292,0.9148341698142495,0.8112332435583478,0.8150555478725856
7,0.03458625083796775,0.03345295809118009,0.8636185865979914,0.8809208147523201,0.7510376183828246,0.8026039888818453,0.8827918838008648,0.8516065607699074,0.8116023282127603,0.8263794748205051
8,0.03464185066041037,0.03228680037350603,0.8637145155220378,0.8715886981525164,0.751730136520062,0.76236792077457,0.8816054995010534,0.8922233145340716,0.8115042712362601,0.8221999713917895
9,0.03457584936567261,0.03260129146389126,0.8647033213545164,0.8762203205978064,0.7539863325740319,0.7792142068457858,0.8808071848320213,0.8763388006415895,0.8124776272053184,0.824927550349463
10,0.034608889507298284,0.03328657925623983,0.8636739302080182,0.8746534892129686,0.7514000509967985,0.7776958185422526,0.8821931477990909,0.8728204066849485,0.8115606464741252,0.8225169437807792
11,0.034569462124145765,0.03235203008145942,0.8637145155220378,0.8700046488403725,0.7510702498821311,0.757510823457384,0.8831466903204347,0.8962591193666891,0.8117713004484305,0.821064606342134
12,0.034226153036024,0.03238933389826281,0.8652641366027879,0.8686960863651234,0.7540421825892688,0.7533671127279027,0.8831799534316443,0.900087959848916,0.8135181232318487,0.8202178320524306
13,0.0342399444253567,0.03216393387454126,0.865312101064811,0.8758587441243824,0.7542698002216601,0.7761520579789416,0.8828694977270207,0.8810472396129767,0.8135188013710877,0.8252798914360491
14,0.03423909793929524,0.032259851745965684,0.8652899636208004,0.8731383116100484,0.753674281447596,0.7666681532355171,0.8841445836567247,0.8894810368913955,0.813712734638482,0.8235209580838323
15,0.034321637245112085,0.03240727369477228,0.8641240582362361,0.8665610633791904,0.7517526395742713,0.747721145204776,0.8833906198026389,0.9040202825063383,0.8122728408088778,0.8184756640277322
16,0.03424601988952404,0.03211079304924806,0.8645003947844182,0.8696775082215603,0.7521815008726004,0.7564337433481637,0.8840780574343053,0.8972939411186424,0.8128137822064783,0.8208647906657516
17,0.034195278278383576,0.032246487533849746,0.8652051034187592,0.8719847104805524,0.7539135701981866,0.7640788772428495,0.883213216542854,0.8901536710301651,0.813457375107226,0.8223119757187582
18,0.03418237819975574,0.032123857172999384,0.864419224156379,0.870297353604573,0.7519636408210989,0.757736013986014,0.8842221975828806,0.897035235680654,0.8127474610559358,0.8215224962683915
19,0.03414295249959095,0.03221361385970273,0.8647918711305592,0.8649253602851289,0.7528475094916983,0.7432008811319156,0.8838341279521011,0.90774564081337,0.8130992696560447,0.8172734260359165
20,0.03403287489651861,0.032162652911384905,0.8649615915346414,0.877856023691868,0.7517995752438589,0.7856976038114811,0.8870384743319658,0.8703368344802608,0.8138389859819739,0.8258542812254517
21,0.03393647124295901,0.0320206197887032,0.8655998878369503,0.8760481413247473,0.7549290164727304,0.7768191363096868,0.882636655948553,0.8804780876494024,0.813803114952693,0.8254068343317246
22,0.033948720048865656,0.031983982922111666,0.8659577765151235,0.8779937671103153,0.7546186865344251,0.7838953569275012,0.8849428983257568,0.874424380400476,0.8146012370123905,0.826688842146456
23,0.033950063603344495,0.03222418844591588,0.8659762243851324,0.8681278947640283,0.7548471343003946,0.7510975294826547,0.8844993901762945,0.9029337196667874,0.8145463085398043,0.8200465214633115
24,0.03388411795240396,0.03215994316582385,0.86522724086277,0.8774255755092202,0.7527268617071379,0.7830643665368207,0.8860627564031489,0.8737000051741087,0.8139705432989061,0.8259030104423957
25,0.03398926143603418,0.032067114794465355,0.8652715157507914,0.8664749737426608,0.7530789687105109,0.7465274818917768,0.8854418449939018,0.9065555957986237,0.8139141424436381,0.8187957099796714
